GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q06413	10116	RGD		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q06413	10116	RGD		F
UniProtKB	A0A0C5B5G6	MT-RNR1	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000353	IPI	PMID:29983246	UniProtKB:P18846	9606	UniProt		F
UniProtKB	A0A0C5B5G6	MT-RNR1	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000353	IPI	PMID:29983246	UniProtKB:Q14494	9606	UniProt		F
UniProtKB	A0A0C5B5G6	MT-RNR1	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000353	IPI	PMID:29983246	UniProtKB:Q16236	9606	UniProt		F
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0016922	nuclear receptor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96EB6	10116	RGD		F
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0043425	bHLH transcription factor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96EB6	10116	RGD		F
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96EB6	10116	RGD		F
UniProtKB	A0A8I6GM68	Hdac6	enables	GO:0001222	transcription corepressor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UBN7	10116	RGD		F
UniProtKB	A0JPP1	Drap1	enables	GO:0001091	RNA polymerase II general transcription initiation factor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q14919	10116	RGD		F
UniProtKB	A0JPP1	Drap1	enables	GO:0001091	RNA polymerase II general transcription initiation factor binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q14919|ensembl:ENSP00000307850	10116	Ensembl		F
UniProtKB	A0JPP1	Drap1	enables	GO:0017025	TBP-class protein binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q14919	10116	RGD		F
