GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q06413	10116	RGD		F
UniProtKB	A0A096MJY4	Mef2c	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q06413	10116	RGD		F
UniProtKB	A0A096MK47	Mlip	enables	GO:0003714	transcription corepressor activity	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1916892	10116	RGD		F
UniProtKB	A0A0C5B5G6	MT-RNR1	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000353	IPI	PMID:29983246	UniProtKB:P18846	9606	UniProt		F
UniProtKB	A0A0C5B5G6	MT-RNR1	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000353	IPI	PMID:29983246	UniProtKB:Q14494	9606	UniProt		F
UniProtKB	A0A0C5B5G6	MT-RNR1	enables	GO:0140297	DNA-binding transcription factor binding	ECO:0000353	IPI	PMID:29983246	UniProtKB:Q16236	9606	UniProt		F
UniProtKB	A0A0G2JZ79	Sirt1	acts_upstream_of_or_within	GO:0031507	heterochromatin formation	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2135607	10116	RGD		P
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0002039	p53 binding	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2135607|PANTHER:PTN000872223|UniProtKB:Q96EB6	10116	GO_Central		F
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2135607	10116	RGD		F
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96EB6	10116	RGD		F
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0003713	transcription coactivator activity	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2135607	10116	RGD		F
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0003714	transcription corepressor activity	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2135607|PANTHER:PTN000872223|UniProtKB:Q96EB6	10116	GO_Central		F
