	#SentenceID	Sentence	TF	TG	TF Id	TG Id	TF offset	Gene offset	Mutated Genes	Mutation offsets	Valid score	Valid	MoR scores	MoR	PMID	PMID+Sent+TRI_Id	Mutated_TF	TF Symbol	TF TaxID	TG Symbol	TG TaxID	TF_type	Error
699709	PMID:19366707:pubtator_title_and_abstract:2a3082f0dccebb219e8f01470b73acf5:8:NPM:p21:874:921	[TF] enhances the expression of p53 target gene [TG] and bax.	NPM	p21	4869	1026	874	921			0.9922833175099952	Valid	0.003075612980803549;0.9958713086007083;0.0010530784184881457	ACTIVATION	19366707	19366707|8|4869|644914	False	NPM1	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
581069	PMID:18585004:pubtator_title_and_abstract:066f5b14c50a2f960db0eac4367e68b6:6:SETD2:p21:708:811	Overexpression of [TF] upregulated the expression levels of a subset of p53 targets including puma, noxa, p53AIP1, fas, [TG], tsp1, huntingtin, but downregulated that of hdm2.	SETD2	p21	29072	1026	708	811			0.9921638176013128	Valid	0.007336118089680508;0.9912723498323553;0.0013915320779641271	ACTIVATION	18585004	18585004|6|29072|644914	False	SETD2	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
290438	PMID:19123943:pubtator_title_and_abstract:0afaec1558642674927da54409ac2a2d:12:p53:p21:1579:1620	[TF] knockdown inhibited up-regulation of [TG] and BAX.	p53	p21	7157	1026	1579	1620			0.9921358392036058	Valid	0.0013558960235942534;0.9947914620404595;0.0038526419359461413	ACTIVATION	19123943	19123943|12|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
54178	PMID:19276356:pubtator_title_and_abstract:6a428236e4dea5db0bba9d8380fdeaa3:0:FOXP3:p21:0:19	[TF] up-regulates [TG] expression by site-specific inhibition of histone deacetylase 2/histone deacetylase 4 association to the locus.	FOXP3	p21	50943	1026	0	19			0.9921184345362788	Valid	0.001693322571941422;0.9967611795409792;0.0015454978870792677	ACTIVATION	19276356	19276356|0|50943|644914	False	FOXP3	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
568475	PMID:21319196:pubtator_title_and_abstract:5cebd7457abf63860c00853a58f15a9c:15:p53:p21:1698:1853	The antitumorigenic function of PAX5 was at least up-regulated by [TF] and its downstream targets including tumor necrosis factor, Fas ligand, leucine-rich repeats, and death domain-containing, poly(rC) binding protein 4, [TG], and growth arrest and DNA-damage-inducible alpha.	p53	p21	7157	1026	1698	1853			0.992081795090084	Valid	0.7398545679091953;0.2568743828987045;0.0032710491921000852	UNDEFINED	21319196	21319196|15|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
889008	PMID:12420214:pubtator_title_and_abstract:d2b1e5f2dfd0da26fcc8a7affcf35b5c:8:IRF-1:p21:1268:1294	The data highlight a role for the ATM kinase in orchestrating the coordinated induction and transcriptional cooperation of [TF] and p53 to regulate [TG] expression.	IRF-1	p21	3659	1026	1268	1294			0.9920797290153548	Valid	0.9967021204000445;0.002594563353618547;0.0007033162463369636	UNDEFINED	12420214	12420214|8|3659|644914	False	IRF1	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
335853	PMID:14743206:pubtator_title_and_abstract:656d33615b148cf5648724e2f3d42438:9:p53:p21:1168:1225	We have found that p53 missense mutants markedly reduce the binding of wild-type [TF] to the p53 responsive element in the target genes of [TG], MDM2, and PIG3.	p53	p21	7157	1026	1168	1225			0.992062433966742	Valid	0.996940932813638;0.0023256993507570906;0.0007333678356047738	UNDEFINED	14743206	14743206|9|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
313386	PMID:31106145:pubtator_title_and_abstract:86a6eb7e760637b1855ecb835e01e871:7:SMYD2:p21:970:1084	Mechanistically, inhibition of [TF] could enhance p53 pathway activity and induce cell apoptosis through regulating its target genes, including [TG], GADD45, and Bax.	SMYD2	p21	56950	1026	970	1084			0.9920576150009066	Valid	0.982417077047245;0.009994070029328733;0.007588852923426214	UNDEFINED	31106145	31106145|7|56950|644914	False	SMYD2	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
1047124	PMID:29622796:pubtator_title_and_abstract:6d96708d8e58845879bfad995bd10f6d:0:NFkappaB:p21:0:19	[TF] regulates [TG] expression and controls DNA damage-induced leukemic differentiation.	NFkappaB	p21	Complex:NFKB	1026	0	19			0.9920557343291408	Valid	0.9976626278138956;0.001108025350949282;0.0012293468351551153	UNDEFINED	29622796	29622796|0|4790|644914	False	NFKB	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
1005143	PMID:15184659:pubtator_title_and_abstract:f578e8bc7786f122e0b4689fdb6934e9:4:p53:p21:316:389	[TF] mediates checkpoint control at G(1) by transcriptional regulation of [TG].	p53	p21	7157	1026	316	389			0.992045020549464	Valid	0.9976409551465802;0.0012198767948383938;0.0011391680585813174	UNDEFINED	15184659	15184659|4|7157|644914	False	TP53	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
750781	PMID:15031205:pubtator_title_and_abstract:1ff26196bc2fdfd795431b6b053afc4a:5:p73:p21:715:803	Because NB4 and K562 cell lines carry an inactive p53, we investigated the possible role of [TF], a p53 paralogue that has been shown to regulate several p53 target genes including [TG], Bax, and p53AIP1.	p73	p21	7161	1026	715	803			0.992024638447122	Valid	0.9976054506327182;0.0016874279050741083;0.0007071214622076768	UNDEFINED	15031205	15031205|5|7161|644914	False	TP73	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
283823	PMID:16819512:pubtator_title_and_abstract:0be19871e3caa540b9fb8d589735d62f:6:SRF:p21:693:806	Furthermore, we demonstrated that overexpression of [TF] markedly decreases the level of Smad3 complex binding to the promoters of Smad3 target genes, p15(INK4b) and [TG](Cip1).	SRF	p21	6722	1026	693	806			0.9920157301351132	Valid	0.08751391456844426;0.004483446839021851;0.9080026385925338	REPRESSION	16819512	16819512|6|6722|644914	False	SRF	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
514653	PMID:29620165:pubtator_title_and_abstract:0d071bd47176382aaf500db0060eff34:7:FOXD1:p21:853:873	Dual-luciferase reporter and chromatin immunoprecipitation assays were used to determine the role of [TF] in regulating [TG] expression.	FOXD1	p21	2297	1026	853	873			0.9920133182877616	Valid	0.9981234628887358;0.0008850826384355421;0.000991454472828723	UNDEFINED	29620165	29620165|7|2297|644914	False	FOXD1	9606	CDKN1A	9606	dbTF	p21_to_CDKN1A
367615	PMID:32023548:pubtator_title_and_abstract:65bd32b91aee6b93ef3ec0009bef4a69:8:TRIM21:p21:1059:1137	Mechanistically, [TF], which interacts with PRMT5, was essential for the regulation of TXNIP/[TG] expression.	TRIM21	p21	6737	1026	1059	1137			0.99200846974357	Valid	0.9980852171753816;0.0011362587088905086;0.0007785241157279039	UNDEFINED	32023548	32023548|8|6737|644914	False	TRIM21	9606	CDKN1A	9606	coTF	p21_to_CDKN1A
