Gene ID	TF type	Symbol	TaxID	GO:0003700	GO:0003712	GO:0001098	GO:0002039	GO:0008134	GO:0042393	GO:0046332	GO:0006325	GO:0140993	GO:0006355	lambert_2018.present	Lovering_2021.present	animal_tfdb_Homo_sapiens_cofactors.present	animal_tfdb_Mus_musculus_cofactors.present	animal_tfdb_Rattus_norvegicus_cofactors.present	tcof_cotf_human.present	tcof_cotf_mouse.present	TFclass_human	TFclass_mouse	TFclass_rat	updated TF type	In ExTRI	human_gene_ID	human_symbol	hgnc_id
54608	dbTF	Abhd2	10090	GO:0003707									GO:0003707											dbTF	True	11057	ABHD2	HGNC:18717
11057	dbTF	ABHD2	9606	GO:0003707									GO:0003707											dbTF	True	11057	ABHD2	HGNC:18717
11538	dbTF	Adnp	10090	GO:0000981									GO:0000981;GO:0006357									TFclass_mouse.present		dbTF	True	23394	ADNP	HGNC:15766
23394	dbTF	ADNP	9606	GO:0000981									GO:0000981;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	23394	ADNP	HGNC:15766
22850	dbTF	ADNP2	9606	GO:0000981									GO:0000981;GO:0006357	lambert_2018	Lovering_2021						TFclass_human.present			dbTF	True	22850	ADNP2	HGNC:23803
11568	dbTF	Aebp1	10090	GO:0001227									GO:0000122;GO:0001227;GO:0006355				animal_tfdb_Mus_musculus_cofactors							dbTF	True	165	AEBP1	HGNC:303
305494	dbTF	Aebp1	10116	GO:0001227									GO:0000122;GO:0001227;GO:0006355					animal_tfdb_Rattus_norvegicus_cofactors						dbTF	True	165	AEBP1	HGNC:303
165	dbTF	AEBP1	9606	GO:0001227									GO:0000122;GO:0001227;GO:0006355	lambert_2018	Lovering_2021	animal_tfdb_Homo_sapiens_cofactors								dbTF	True	165	AEBP1	HGNC:303
11569	dbTF	Aebp2	10090		GO:0003712						GO:0006325		GO:0000122;GO:0006355;GO:0006357									TFclass_mouse.present		dbTF	True	121536	AEBP2	HGNC:24051
121536	dbTF	AEBP2	9606		GO:0003712						GO:0006325		GO:0000122;GO:0006355;GO:0006357	lambert_2018							TFclass_human.present			dbTF	True	121536	AEBP2	HGNC:24051
17355	dbTF	Aff1	10090	GO:0003700									GO:0003700;GO:0045893											dbTF	True	4299	AFF1	HGNC:7135
16764	dbTF	Aff3	10090	GO:0003700									GO:0003700;GO:0006355											dbTF	True	3899	AFF3	HGNC:6473
3899	dbTF	AFF3	9606	GO:0003700									GO:0003700;GO:0006355											dbTF	True	3899	AFF3	HGNC:6473
25909	dbTF	AHCTF1	9606											lambert_2018										dbTF	True	25909	AHCTF1	HGNC:24618
27245	dbTF	AHDC1	9606	GO:0003700									GO:0003700;GO:0006355	lambert_2018										dbTF	True	27245	AHDC1	HGNC:25230
